Nama Produk,Harga Produk,Nama Toko,Kota Toko,Banyaknya Terjual,Rating,Pendapatan
Seblak Tulang Rangu Nyai Mercon,21000,Jajanan Hits (JS),Tangerang Selatan,70.0,5.0,1470000.0
cuanki tahu kering seblak isi 50 pcs toping seblak baso aci,12500,CUANKI CULAMETAN,Kab. Garut,500.0,4.9,6250000.0
Kylafood paket 2 Seblak cup + 2 Seblak rempah autentik,48240,kylafood,Bandung,15.0,4.8,723600.0
Kylafood Paket Seblak Cup isi 4 pcs,50040,kylafood,Bandung,80.0,5.0,4003200.0
1 Kg Kerupuk Seblak Kencur Bantet Pedas Nikmat Harga Camilan Grosir Snack Viral,7400,Grosir Jaya Snack,Surabaya,3.0,,22200.0
11 BUNGKUS SEBLAK MAMANG PAKET RESELLER,55000,global cookware1,Jakarta Barat,80.0,5.0,4400000.0
Gelifood Seblak Instan Kerupuk Mawar Bumbu Kencur Rafael Pedas Gurih,19000,Lidigeli,Kab. Garut,500.0,4.8,9500000.0
Kylafood Seblak Tulang Rawan,22950,kylafood,Bandung,8000.0,4.9,183600000.0
SEBLAK JUARA INSTAN MASAK BASAH ASLI BANDUNG ENAK MANTAP,22000,Rasa Juara Indonesia,Kab. Bandung,1000.0,4.9,22000000.0
Seblak Ceker Cap Dua Putra,8000,Medina Snack Grosir,Kab. Sukabumi,100.0,5.0,800000.0
seblak instan jeletot jajanan hits bandung 1 porsi,4180,tokomakanankalimantan,Jakarta Barat,1000.0,4.8,4180000.0
SAMBAL SEBLAK BY MAMANG RAFAEL ORIGINAL HALAL VIRAALLL,40000,Beauty DELUXE,Jakarta Barat,30.0,4.9,1200000.0
KERUPUK JABLAY BANTET SEBLAK PELANGI,15999,Toko kue Sumber Mas,Jakarta Timur,500.0,4.9,7999500.0
Kerupuk Seblak Pedas Mimi,18000,Snack Zone Official,Jakarta Selatan,80.0,4.9,1440000.0
Kylafood Seblak Kwetiaw play,21150,kylafood,Bandung,500.0,4.9,10575000.0
Seblak Instan Kenyang Murah Asli Bandung Reseller Tanpa Pengawet - Original,7138,Berkah Food Bandung,Cimahi,7000.0,4.9,49966000.0
Geli Chips - Seblak Kering Pedas Gurih Daun Jeruk 65gr,10200,Foodstocks,Jakarta Selatan,70.0,5.0,714000.0
cuanki tahu kering seblak atau batagor kering isi 150 pcs,34999,CUANKI CULAMETAN,Kab. Garut,100.0,4.8,3499900.0
SEBLAK KERING CIKRUH BUMBU KACANG VARIAN CAMPUR KEMASAN 1 KG,57999,Simshop_,Cimahi,18.0,5.0,1043982.0
cuanki tahu kering seblak isi 50 pcs toping seblak baso aci,12500,CUANKI CULAMETAN,Kab. Garut,500.0,4.9,6250000.0
"Basreng 100 gram Ori, Seblak, Pedas Manis, Super Pedas isi 100gr",7599,Grosir Besar Kalimantan,Banjarbaru,29.0,5.0,220371.0
Seblak RAFAEL | Seblak MAMANG RAFAEL | Seblak Viral,40000,Naturally Plus Jakarta,Kab. Tangerang,250.0,4.9,10000000.0
Seblak Bu Etu - Misdaseum / Original,19900,Bakso Bu Etu,Kab. Bandung,750.0,4.9,14925000.0
